Timestamp,Username,Idea #1,Idea #2,Idea #3,Idea #4,Idea #5
3/23/16 19:17,user1,24,37,40,49,50
3/23/16 19:39,user2,7,22,29,40,47
3/23/16 20:00,user3,3,14,18,19,24
3/23/16 20:42,user4,19,13,21,23,47
3/23/16 21:37,user5,4,16,18,26,36
3/23/16 21:54,user6,43,36,28,26,41
3/24/16 8:11,user7,40,24,14,33,29
3/24/16 9:17,user8,28,3,4,10,20
42453.50049,user9,5,6,8,16,36
42453.5158,user10,1,2,3,16,50
