Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1851,0.714,0.291,-0.543,0.433,0.034,0.045,0.305,0.261,0.168,0.608,-0.146,-0.227
1852,0.134,0.14,-0.097,-0.855,0.361,0.42,0.481,0.069,0.138,-0.223,0.094,1.645
1853,0.61,-0.626,-1.234,-0.486,-0.206,-0.176,0.345,0.256,-0.323,0.03,-0.528,-1.18
1854,-0.487,0.16,0.11,-0.356,0.336,0.036,0.558,0.292,0.083,0.574,-0.49,0.298
1855,-0.019,-1.301,-0.54,0.34,0.111,0.096,0.172,0.064,-0.328,0.268,-0.467,-1.568
1856,-0.342,-0.758,-1.23,-0.098,-0.615,0.165,-0.411,-0.321,-0.589,-0.625,-1.411,-0.196
1857,-1.081,0.14,-0.725,-1.335,-0.989,-0.304,-0.093,0.053,-0.368,-0.441,-0.764,0.511
1858,-0.026,-1.353,-0.757,-0.388,-0.411,0.099,-0.233,-0.406,-0.395,-0.139,-1.735,-0.427
1859,-0.204,0.083,-0.097,-0.199,-0.094,-0.183,-0.05,-0.074,-0.604,-0.205,-0.351,-1.086
1860,0.097,-1.098,-1.504,-0.535,-0.364,-0.043,-0.341,-0.133,-0.351,-0.412,-1.262,-1.561
1861,-1.916,0.154,0.028,-0.768,-1.004,0.075,-0.207,-0.043,-0.365,-0.337,-0.699,-0.448
1862,-1.234,-1.321,-0.462,-0.339,-0.23,-0.419,-0.519,-0.747,-0.415,-0.533,-1.001,-1.157
1863,1.033,0.342,-0.391,-0.318,-0.253,-0.406,-0.52,-0.313,-0.518,-0.611,-0.401,-0.395
1864,-1.366,-0.612,-0.503,-0.717,-0.639,0.083,-0.127,-0.509,-0.343,-1.299,-1.264,-1.223
1865,-0.16,-1.348,-1.4,-0.175,-0.166,-0.207,0.063,-0.392,0.201,-0.594,0.032,-0.58
1866,0.527,-0.512,-0.899,-0.204,-0.748,0.037,-0.065,-0.518,-0.047,-0.814,-0.684,-0.367
1867,-0.694,0.537,-1.817,-0.457,-1.121,-0.261,-0.368,-0.212,-0.119,-0.114,-0.626,-0.955
1868,-1.328,-0.844,-0.193,-0.645,0.149,0.084,0.387,0.062,-0.353,-0.152,-0.956,-0.207
1869,-0.163,0.802,-1.105,-0.33,-0.455,-0.326,-0.187,0.17,-0.056,-0.953,-0.61,-0.429
1870,0.111,-0.974,-1.127,-0.43,-0.054,0.185,0.082,-0.726,-0.319,-0.472,-0.145,-1.758
1871,-1.001,-1.173,-0.017,-0.314,-0.623,-0.403,-0.013,0.099,-0.608,-0.64,-1.277,-1.221
1872,-0.131,-0.509,-0.613,-0.081,-0.031,-0.073,-0.147,-0.43,-0.183,-0.198,-0.527,-0.815
1873,-0.052,-0.658,-0.534,-0.958,-0.573,0.219,-0.172,-0.018,-0.396,-0.416,-0.909,-0.039
1874,0.247,-0.513,-1.089,-0.653,-0.837,-0.392,-0.26,-0.402,-0.202,-0.252,-0.797,-0.396
1875,-1.221,-1.606,-1.641,-1.048,-0.265,-0.194,-0.359,-0.321,-0.654,-0.823,-1.283,-0.908
1876,-0.276,-0.251,-0.466,-0.362,-0.751,-0.075,0.078,-0.187,-0.23,-0.46,-1.289,-1.487
1877,-0.33,-0.073,-0.661,-0.73,-0.889,-0.059,0.136,0.179,-0.384,-0.56,0.047,0.076
1878,-0.35,0.377,0.592,0.382,-0.426,-0.097,-0.094,-0.027,0.253,0.115,-0.145,-0.964
1879,-0.49,-0.485,-0.442,-0.58,-0.498,-0.552,-0.361,-0.346,-0.317,-0.103,-0.863,-1.176
1880,0.085,-0.27,-0.491,-0.31,-0.095,-0.099,-0.186,0.135,-0.165,-0.958,-1.022,-0.606
1881,-1.244,-0.621,-0.71,-0.439,-0.022,-0.571,-0.276,-0.146,-0.135,-0.64,-0.67,0.114
1882,0.603,0.088,0.123,-0.642,-0.691,-0.627,-0.515,-0.096,-0.101,-0.374,-0.746,-0.883
1883,-1.069,-0.904,-1.081,-0.661,-0.528,0.059,-0.259,-0.435,-0.525,-0.542,-0.556,-0.341
1884,-0.582,-0.393,-0.773,-1.005,-0.959,-0.654,-0.703,-0.254,-0.41,-0.491,-0.973,-0.664
1885,-1.3,-0.789,-0.992,-0.828,-0.827,-0.655,-0.342,-0.615,-0.347,-0.49,-0.433,0.014
1886,-0.767,-1.02,-0.925,-0.247,-0.379,-0.608,-0.313,-0.378,-0.2,-0.544,-0.476,-0.275
1887,-0.699,-0.756,-0.559,-0.61,-0.396,-0.392,-0.277,-0.438,-0.291,-0.862,-0.652,-0.578
1888,-1.148,-1.006,-1.426,-0.293,-0.693,-0.406,-0.393,-0.431,-0.219,-0.41,-0.476,-0.302
1889,-0.447,-0.444,-0.306,-0.014,0.11,-0.194,-0.353,-0.406,-0.559,-0.36,-0.697,0.069
1890,-0.149,-0.395,-0.51,-0.243,-0.606,-0.276,-0.442,-0.44,-0.274,-0.535,-0.813,-0.692
1891,-0.933,-0.889,-0.72,-0.712,-0.442,-0.476,-0.497,-0.523,-0.214,-0.511,-0.924,0.159
1892,-0.745,-0.087,-0.866,-0.846,-0.788,-0.417,-0.498,-0.375,-0.307,-0.493,-0.795,-1.336
1893,-2.039,-1.522,-0.664,-0.72,-0.777,-0.523,-0.233,-0.382,-0.495,-0.282,-0.573,-0.413
1894,-0.585,-0.453,-0.239,-0.428,-0.553,-0.587,-0.436,-0.404,-0.753,-0.449,-0.465,-0.434
1895,-1.079,-1.55,-0.77,-0.437,-0.464,-0.356,-0.659,-0.336,-0.144,-0.33,-0.466,-0.274
1896,-0.342,-0.354,-0.829,-0.764,-0.36,-0.253,-0.243,-0.343,-0.307,-0.033,-0.961,-0.133
1897,-0.616,-0.382,-0.799,-0.064,-0.049,-0.155,-0.121,-0.264,-0.048,-0.291,-0.506,-0.583
1898,0.305,-0.418,-1.3,-0.654,-0.623,-0.203,-0.31,-0.121,-0.116,-0.572,-0.421,-0.147
1899,-0.141,-0.757,-0.815,-0.24,-0.476,-0.552,-0.272,-0.246,-0.003,-0.21,0.31,-0.622
1900,-0.41,-0.437,-0.475,-0.397,-0.272,-0.018,-0.272,-0.143,-0.232,0.283,-0.199,0.137
1901,-0.194,-0.557,-0.178,-0.064,-0.144,0.064,-0.015,-0.087,-0.154,-0.181,-0.338,-0.463
1902,0.028,-0.114,-0.323,-0.473,-0.45,-0.367,-0.441,-0.492,-0.455,-0.54,-0.611,-0.845
1903,-0.124,0.102,-0.119,-0.517,-0.551,-0.58,-0.52,-0.476,-0.39,-0.546,-0.589,-0.729
1904,-0.795,-0.707,-0.882,-0.521,-0.51,-0.499,-0.531,-0.46,-0.569,-0.393,-0.292,-0.482
1905,-0.585,-1.263,-0.526,-0.695,-0.4,-0.222,-0.344,-0.34,-0.254,-0.549,-0.077,-0.032
1906,0.082,-0.479,-0.608,0.127,-0.025,-0.126,-0.2,-0.216,-0.337,-0.263,-0.642,-0.166
1907,-0.704,-0.805,-0.543,-0.915,-0.981,-0.691,-0.493,-0.583,-0.409,-0.143,-0.799,-0.562
1908,-0.224,-0.389,-0.867,-0.544,-0.443,-0.387,-0.396,-0.562,-0.328,-0.615,-0.746,-0.423
1909,-0.642,-0.649,-0.865,-0.82,-0.782,-0.39,-0.426,-0.054,-0.137,-0.127,-0.101,-0.698
1910,-0.085,-0.391,-0.238,-0.227,-0.345,-0.305,-0.224,-0.251,-0.217,-0.396,-0.785,-0.638
1911,-0.601,-0.941,-0.797,-0.709,-0.404,-0.42,-0.286,-0.264,-0.296,-0.395,-0.201,-0.051
1912,-0.482,-0.096,-0.587,-0.43,-0.335,-0.13,-0.607,-0.701,-0.699,-0.822,-0.578,-0.265
1913,-0.262,-0.712,-0.61,-0.234,-0.798,-0.645,-0.358,-0.205,-0.331,-0.378,0.197,0.279
1914,0.483,0.125,-0.146,-0.306,-0.104,-0.096,-0.177,-0.16,-0.206,-0.015,-0.332,-0.337
1915,-0.078,0.312,-0.649,0.068,-0.329,-0.261,-0.028,-0.203,-0.064,-0.235,-0.046,-0.117
1916,0.036,-0.098,-0.711,-0.332,-0.377,-0.529,-0.201,-0.255,-0.33,-0.359,-0.453,-0.924
1917,-0.615,-1.316,-1.209,-0.76,-1.163,-0.415,-0.123,-0.323,-0.167,-0.608,-0.336,-1.297
1918,-0.836,-0.597,-0.516,-0.635,-0.745,-0.419,-0.469,-0.379,-0.323,0.099,-0.333,-0.348
